row_id,area__rucc,area__urban_influence,econ__economic_typology,econ__pct_civilian_labor,econ__pct_unemployment,econ__pct_uninsured_adults,econ__pct_uninsured_children,demo__pct_female,demo__pct_below_18_years_of_age,demo__pct_aged_65_years_and_older,demo__pct_hispanic,demo__pct_non_hispanic_african_american,demo__pct_non_hispanic_white,demo__pct_american_indian_or_alaskan_native,demo__pct_asian,demo__pct_adults_less_than_a_high_school_diploma,demo__pct_adults_with_high_school_diploma,demo__pct_adults_with_some_college,demo__pct_adults_bachelors_or_higher,demo__birth_rate_per_1k,demo__death_rate_per_1k,health__pct_adult_obesity,health__pct_adult_smoking,health__pct_diabetes,health__pct_low_birthweight,health__pct_excessive_drinking,health__pct_physical_inacticity,health__air_pollution_particulate_matter,health__homicides_per_100k,health__motor_vehicle_crash_deaths_per_100k,health__pop_per_dentist,health__pop_per_primary_care_physician,yr,poverty_rate
35,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.531,0.061,0.307,0.125,0.512,0.223,0.152,0.276,0.274,0.399,0,0.043,0.1088504578,0.2716174975,0.3041709054,0.3153611394,12,8,0.25,0.146,0.089,0.08,0.154,0.228,11,5.3,11.28,1479,1339,a,13.9
36,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.463,0.064,0.197,0.061,0.532,0.198,0.134,0.037,0.285,0.618,0,0.022,0.1121304791,0.2436289501,0.3078491335,0.3363914373,13,10,0.339,0.245,0.114,0.072,0.175,0.268,13,2.37,7.13,1159,779,b,24.5
37,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.632,0.031,0.153,0.056,0.499,0.143,0.14,0.151,0.049,0.411,0.002,0.338,0.127016129,0.1260080645,0.2096774194,0.5372983871,11,7,0.146,0.102,0.063,0.063,0.213,0.154,8,6.2,3.55,709,620,a,11.3
39,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Nonspecialized,0.657,0.039,0.136,0.039,0.49,0.213,0.175,0.013,0.001,0.964,0,0.008,0.090367428,0.3535253227,0.3565044687,0.1996027805,10,10,0.313,0.203,0.114,0.065,0.26,0.27,13,,20.29,3609,2910,a,8.7
42,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.499,0.044,0.145,0.025,0.506,0.226,0.131,0.042,0.107,0.784,0.001,0.014,0.06779661017,0.2203389831,0.3529411765,0.3589232303,12,8,0.286,0.183,0.081,0.08,0.163,0.19,13,3.5,8.87,1509,1039,a,16.2
43,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Farm-dependent,0.451,0.059,0.208,0.085,0.514,0.217,0.152,0.011,0.325,0.622,0.005,0,0.1557539683,0.3660714286,0.3452380952,0.1329365079,10,7,0.337,,0.137,0.111,,0.303,12,,27.93,11929,12039,b,16.3
44,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.525,0.046,0.136,0.033,0.512,0.242,0.144,0.072,0.012,0.893,0.013,0,0.1143141153,0.3568588469,0.3300198807,0.1988071571,13,9,0.347,0.218,0.108,0.08,0.212,0.285,9,2.7,11.85,2099,2159,a,14.2
45,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Manufacturing-dependent,0.332,0.088,0.196,0.043,0.527,0.219,0.213,0.014,0.433,0.564,0.005,0.002,0.2386138614,0.3643564356,0.2782178218,0.1188118812,11,13,0.407,0.193,0.171,0.113,,0.341,13,,45.99,2230,2719,a,22.9
46,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.472,0.05,0.319,0.152,0.488,0.273,0.136,0.18,0.015,0.766,0.005,0.009,0.1774675972,0.3090727817,0.3409770688,0.1724825523,13,8,0.324,0.203,0.129,0.079,0.188,0.289,10,2.95,21.13,3120,2209,b,13
47,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Farm-dependent,0.617,0.033,0.121,0.041,0.509,0.219,0.207,0.022,0,0.955,0.007,0.01,0.08542713568,0.3537688442,0.3728643216,0.1879396985,12,12,0.3,0.232,0.094,0.095,,0.28,11,,21.84,3040,1520,a,12
49,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Federal/State government-dependent,0.443,0.057,0.146,0.055,0.465,0.19,0.197,0.034,0.025,0.914,0.002,0,0.1055276382,0.4361809045,0.2603015075,0.1979899497,8,11,0.325,0.187,0.123,0.067,0.183,0.237,12,3.3,16.19,1979,2160,a,14.2
51,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Nonspecialized,0.555,0.028,0.176,0.072,0.507,0.224,0.138,0.046,0,0.928,0,0.011,0.06712734452,0.286278381,0.3613030602,0.2852912142,17,10,0.297,0.16,0.083,0.062,,0.233,13,,26.56,2069,1590,b,10.7
52,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.531,0.044,0.114,0.061,0.521,0.292,0.089,0.05,0.038,0.865,0.008,0.053,0.04780876494,0.1553784861,0.2390438247,0.5577689243,13,5,0.212,0.122,0.075,0.07,0.188,0.195,13,0.08,5.01,1360,720,b,4.7
55,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.526,0.043,0.153,0.081,0.508,0.24,0.142,0.078,0.086,0.82,0.005,0.007,0.08459214502,0.2849949648,0.2970795569,0.3333333333,12,8,0.281,0.167,0.11,0.059,0.158,0.207,13,3.58,14.68,1910,2059,b,6.9
56,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.432,0.054,0.265,0.076,0.501,0.248,0.126,0.049,0.234,0.659,0.004,0.03,0.1444332999,0.2928786359,0.3550651956,0.2076228686,14,9,0.327,0.264,0.127,0.101,0.16,0.289,12,9.4,19.64,1410,1899,a,22.3
58,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,Nonspecialized,0.513,0.086,0.164,0.03,0.494,0.232,0.172,0.09,0.018,0.886,0,0.013,0.117107943,0.3798370672,0.3452138493,0.1578411405,11,11,0.292,0.22,0.1,0.079,0.242,0.28,13,0.26,17.26,2310,2219,b,13.5
61,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.341,0.073,0.316,0.128,0.491,0.3,0.134,0.046,0.408,0.481,0.071,0.004,0.2517623364,0.3534743202,0.2789526687,0.1158106747,13,11,0.36,0.269,0.154,0.131,0.119,0.396,13,11.26,30.87,6259,7849,b,26.8
64,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Federal/State government-dependent,0.441,0.059,0.283,0.114,0.454,0.217,0.13,0.141,0.357,0.471,0.029,0.009,0.2560240964,0.313253012,0.3253012048,0.1054216867,10,10,0.323,,0.12,0.119,,0.272,12,5.85,22.28,2969,10770,b,28.5
66,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.414,0.067,0.337,0.099,0.496,0.275,0.139,0.533,0.014,0.437,0.019,0.009,0.214213198,0.2741116751,0.3299492386,0.1817258883,14,10,0.306,0.219,0.108,0.091,0.149,0.268,9,12.94,21.25,3209,1339,b,23.6
68,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.505,0.076,0.139,0.046,0.519,0.239,0.137,0.048,0.087,0.8,0,0.025,0.08682926829,0.3443902439,0.283902439,0.2848780488,10,9,0.283,0.189,0.092,0.084,0.181,0.251,11,1.53,9.8,2510,1740,b,8.3
69,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Federal/State government-dependent,0.37,0.079,0.268,0.116,0.489,0.206,0.227,0.147,0.011,0.775,0.046,0.02,0.1271442987,0.2542885974,0.4379414733,0.1806256307,6,11,0.246,,0.093,0.069,,0.215,10,,24.42,1299,3099,a,20.8
71,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Manufacturing-dependent,0.448,0.084,0.221,0.095,0.501,0.219,0.161,0.002,0.004,0.974,0.004,0.001,0.1641791045,0.4378109453,0.2905472637,0.1074626866,11,11,0.36,0.32,0.103,0.059,0.229,0.31,14,,23.21,7189,5370,b,15.9
72,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.572,0.032,0.162,0.052,0.499,0.239,0.169,0.024,0.007,0.941,0.022,0.003,0.08879919273,0.2744702321,0.3673057518,0.2694248234,14,10,0.324,0.138,0.081,0.07,0.139,0.253,12,,12.58,1710,1089,b,13.4
73,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.404,0.061,0.247,0.055,0.511,0.212,0.19,0.034,0.087,0.847,0.01,0.01,0.1996066863,0.3775811209,0.2969518191,0.1258603736,12,13,0.351,0.325,0.124,0.09,0.121,0.315,13,7.1,26.82,13359,4480,a,22.7
74,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Recreation,0.441,0.079,0.244,0.11,0.519,0.17,0.223,0.08,0,0.847,0.039,0.011,0.1057884232,0.2844311377,0.374251497,0.2355289421,10,12,0.278,0.238,0.122,0.051,0.191,0.181,9,,12.83,1869,1639,b,18
76,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Recreation,0.483,0.099,0.262,0.099,0.512,0.216,0.187,0.047,0.018,0.908,0.002,0.014,0.1391650099,0.3508946322,0.324055666,0.1858846918,12,10,0.31,0.318,0.114,0.084,0.106,0.295,11,3.89,22.32,3209,1249,b,18.4
78,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Manufacturing-dependent,0.432,0.065,0.216,0.058,0.517,0.219,0.171,0.032,0.037,0.9,0.002,0.001,0.166163142,0.4249748238,0.2527693857,0.1560926485,11,12,0.337,0.228,0.127,0.082,0.058,0.361,13,3,20.9,2610,2090,a,21.6
79,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Nonspecialized,0.463,0.056,0.195,0.077,0.512,0.214,0.186,0.039,0.13,0.808,0,0.003,0.124015748,0.342519685,0.2795275591,0.2539370079,11,11,0.327,0.197,0.122,0.071,0.174,0.269,13,4.5,22.5,4979,1539,b,10.2
82,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Federal/State government-dependent,0.422,0.049,0.176,0.111,0.443,0.235,0.202,0.028,0.006,0.922,0.024,0,0.06659939455,0.3481331988,0.4288597376,0.156407669,10,6,0.258,,0.102,,,0.182,12,,,,,a,8
86,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.771,0.03,0.236,0.136,0.51,0.214,0.263,0.007,0,0.998,0.004,0,0.08232931727,0.4186746988,0.343373494,0.15562249,5,9,0.268,0.139,0.105,,0.165,0.389,12,,,,,b,20.5
87,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.481,0.033,0.263,0.097,0.501,0.251,0.15,0.105,0.032,0.767,0.031,0.02,0.134520277,0.3461918892,0.2977250247,0.2215628091,15,10,0.351,0.233,0.114,0.077,0.146,0.287,10,2.9,18.66,1880,1740,a,13.9
89,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.475,0.045,0.203,0.067,0.529,0.254,0.129,0.022,0.182,0.77,0.004,0.011,0.09726443769,0.2674772036,0.3465045593,0.2887537994,13,7,0.344,0.203,0.117,0.106,0.134,0.3,12,3.11,21.16,1849,1429,b,10.9
90,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Recreation,0.545,0.02,0.191,0.05,0.509,0.175,0.173,0.013,0.004,0.919,0.004,0.023,0.07707707708,0.2852852853,0.2492492492,0.3883883884,8,9,0.266,0.165,0.091,0.061,0.183,0.177,11,1.9,10.81,1310,529,a,11.6
91,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Farm-dependent,0.576,0.029,0.131,0.08,0.505,0.207,0.231,0.047,0.007,0.941,0.013,0.006,0.07070707071,0.3898989899,0.3474747475,0.1919191919,11,15,0.282,0.143,0.081,0.073,0.238,0.292,10,,,1889,1150,a,10.2
92,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Recreation,0.387,0.126,0.196,0.076,0.482,0.133,0.292,0.002,0.009,0.965,0.024,0,0.08917835671,0.4048096192,0.3557114228,0.1503006012,5,16,0.345,,0.146,,,0.233,10,,24.11,2159,2190,b,17
93,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.502,0.058,0.156,0.07,0.506,0.256,0.142,0.026,0.009,0.942,0.001,0.005,0.06163021869,0.3310139165,0.324055666,0.2833001988,11,8,0.285,0.202,0.096,0.078,0.168,0.251,13,,12.51,2649,1410,b,6.6
97,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Recreation,0.393,0.067,0.324,0.126,0.501,0.195,0.231,0.095,0.014,0.872,0.001,0.017,0.2017982018,0.3316683317,0.2877122877,0.1788211788,9,10,0.245,0.273,0.114,0.088,0.161,0.312,13,,19.48,5510,919,b,19.7
99,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Federal/State government-dependent,0.44,0.061,0.213,0.091,0.464,0.224,0.151,0.027,0.039,0.898,0.009,0,0.1533804238,0.4248234107,0.3007063572,0.1210898083,11,9,0.336,0.307,0.115,0.072,0.189,0.292,13,,25.42,5700,6100,b,18
100,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.354,0.072,0.217,0.055,0.499,0.204,0.185,0.004,0.242,0.726,0.007,0.018,0.2530120482,0.343373494,0.2740963855,0.1295180723,13,15,0.353,0.302,0.125,0.105,,0.351,14,,30.83,6970,1350,b,30.1
101,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Manufacturing-dependent,0.46,0.059,0.242,0.068,0.494,0.205,0.199,0.011,0.006,0.979,0.008,0.01,0.1852970796,0.4833836858,0.2286002014,0.1027190332,9,11,0.328,0.303,0.135,0.082,,0.348,13,,24.49,10340,3430,b,17.4
105,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Farm-dependent,0.478,0.049,0.254,0.103,0.495,0.222,0.21,0.02,0.005,0.946,0.014,0.008,0.1354581673,0.4193227092,0.2928286853,0.1523904382,9,14,0.367,,0.136,0.057,,0.311,9,,38.16,7569,1889,a,17.5
106,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.708,0.008,0.171,0.104,0.507,0.223,0.207,0.156,0.003,0.837,0.007,0.004,0.1141078838,0.2977178423,0.3267634855,0.2614107884,14,9,0.314,,0.113,,,0.293,13,,,,1289,a,12.3
107,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Nonspecialized,0.398,0.082,0.264,0.08,0.493,0.248,0.147,0.028,0.318,0.637,0.003,0.01,0.2331658291,0.4100502513,0.2130653266,0.143718593,13,7,0.342,0.221,0.117,0.106,,0.309,13,,30.4,6710,,a,29
111,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Federal/State government-dependent,0.465,0.069,0.257,0.044,0.512,0.203,0.115,0.054,0.597,0.306,0.006,0.034,0.1478174603,0.2351190476,0.2648809524,0.3521825397,13,9,0.303,0.197,0.116,0.122,0.199,0.279,12,47,13.89,1590,1140,a,24.3
112,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.498,0.052,0.243,0.096,0.521,0.18,0.232,0.088,0.106,0.76,0,0.035,0.1023856859,0.2922465209,0.3131212724,0.2922465209,9,13,0.24,0.195,0.113,0.082,0.173,0.197,11,4.8,12.99,1579,1150,a,13.9
114,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.486,0.046,0.22,0.085,0.51,0.253,0.119,0.062,0.178,0.715,0,0.015,0.118,0.313,0.291,0.278,12,7,0.272,0.161,0.102,0.067,0.159,0.261,13,3.7,10.37,2830,2210,a,11.2
115,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Mining-dependent,0.519,0.038,0.217,0.093,0.509,0.236,0.223,0.057,0.015,0.918,0.013,0,0.1125628141,0.367839196,0.3236180905,0.1959798995,15,14,0.292,0.232,0.108,0.063,0.115,0.36,10,,48.3,1510,1990,b,12.6
117,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Nonspecialized,0.443,0.064,0.174,0.049,0.475,0.218,0.158,0.023,0.052,0.928,0,0.007,0.1743119266,0.4067278287,0.2895005097,0.129459735,11,9,0.373,0.182,0.109,0.084,,0.249,13,,15.86,3149,5499,a,18.9
118,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Recreation,0.385,0.1,0.201,0.054,0.493,0.205,0.211,0.019,0.006,0.95,0.012,0.009,0.1539256198,0.4039256198,0.3367768595,0.1053719008,10,12,0.286,0.257,0.126,0.086,0.146,0.285,12,,19.52,3890,2380,b,25
121,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Mining-dependent,0.397,0.072,0.235,0.049,0.509,0.199,0.185,0.002,0.004,0.956,0,0,0.1640316206,0.4812252964,0.1916996047,0.1630434783,11,11,0.34,0.208,0.124,0.085,,0.317,13,,19.56,2740,1739,a,17.5
124,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a large metro area,Manufacturing-dependent,0.523,0.042,0.268,0.124,0.499,0.267,0.164,0.352,0.025,0.606,0.02,0.005,0.1953441296,0.3228744939,0.3269230769,0.1548582996,16,9,0.287,0.148,0.08,0.068,0.156,0.205,14,,16.84,1569,2189,a,12.6
127,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Federal/State government-dependent,0.386,0.034,0.212,0.14,0.424,0.193,0.165,0.131,0.051,0.793,0.012,0.007,0.1971830986,0.4285714286,0.2203219316,0.1539235412,9,8,0.234,0.251,0.076,0.095,0.095,0.231,14,,25.8,1619,1809,b,19
129,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Mining-dependent,0.511,0.025,0.327,0.182,0.503,0.314,0.117,0.588,0.012,0.389,0.016,0.002,0.2928786359,0.294884654,0.2688064193,0.1434302909,20,8,0.296,,0.09,0.097,,0.308,9,,41.27,8120,4000,b,11.1
